Country or territory,Population(1 July 2022),Population(1 July 2023),Change(%),UN continentalregion[1],UN statisticalsubregion[1],,Country / dependency,Totalin km2 (mi2),Landin km2 (mi2),Waterin km2 (mi2),%water,
India,"1,425,423,212","1,438,069,596",+0.89%,Asia,Southern Asia,7,India,"3,287,263 (1,269,219)","2,973,190 (1,147,960)","314,070 (121,260)",9.6,[j]
Indonesia,"278,830,529","281,190,067",+0.85%,Asia,South-eastern Asia,14,Indonesia,"1,904,569 (735,358)","1,811,569 (699,450)","93,000 (36,000)",4.9,[r]
Pakistan,"243,700,667","247,504,495",+1.56%,Asia,Southern Asia,33,Pakistan,"882,363 (340,682)","857,143 (330,945)","25,220 (9,737)",2.9,[x]
Nigeria,"223,150,896","227,882,945",+2.12%,Africa,Western Africa,31,Nigeria,"923,768 (356,669)","910,770 (351,650)","13,000 (5,000)",1.4,
Brazil,"210,306,415","211,140,729",+0.40%,Americas,South America,5,Brazil,"8,510,346 (3,285,862)","8,460,415 (3,266,583)","55,352 (21,372)",0.6,[h]
Bangladesh,"169,384,897","171,466,990",+1.23%,Asia,Southern Asia,92,Bangladesh,"148,460 (57,321)","130,170 (50,259)","18,290 (7,062)",12.3,[az]
Russia,"145,579,899","145,440,500",−0.10%,Europe,Eastern Europe,1,Russia,"17,098,246 (6,601,667)","16,376,870 (6,323,142)","721,380 (278,530)",4.2,[b]
Mexico,"128,613,117","129,739,759",+0.88%,Americas,Central America,13,Mexico,"1,964,375 (758,449)","1,943,950 (750,563)","20,425 (7,886)",1.0,
Ethiopia,"125,384,287","128,691,692",+2.64%,Africa,Eastern Africa,26,Ethiopia,"1,104,300 (426,370)","1,096,570 (423,388)","7,730 (2,990)",0.7,[u]
Japan,"124,997,578","124,370,947",−0.50%,Asia,Eastern Asia,62,Japan,"377,915 (145,914)","364,485 (140,728)","13,430 (5,185)",3.6,[al]
Philippines,"113,964,338","114,891,199",+0.81%,Asia,South-eastern Asia,72,Philippines,"300,000 (100,000)","298,170 (115,120)","1,830 (707)",0.6,[ap]
Egypt,"112,618,250","114,535,772",+1.70%,Africa,Northern Africa,29,Egypt,"1,001,450 (386,662)","995,450 (384,350)","6,000 (2,000)",0.6,[v]
Vietnam,"99,680,655","100,352,192",+0.67%,Asia,South-eastern Asia,66,Vietnam,"331,340 (127,930)","313,429 (121,016)","17,801 (6,873)",5.4,
Iran,"89,524,246","90,608,707",+1.21%,Asia,Southern Asia,17,Iran,"1,648,195 (636,371)","1,531,595 (591,352)","116,600 (45,020)",7.1,[s]
Turkey,"87,058,473","87,270,501",+0.24%,Asia,Western Asia,36,Turkey,"783,562 (302,535)","769,632 (297,156)","13,930 (5,378)",1.8,[y]
Germany,"84,086,227","84,548,231",+0.55%,Europe,Western Europe,63,Germany,"357,581 (138,063)","349,390 (134,900)","7,860 (3,040)",2.2,[am]
Thailand,"71,735,329","71,702,435",−0.05%,Asia,South-eastern Asia,49,Thailand,"513,120 (198,120)","510,890 (197,260)","2,230 (861)",0.4,
United Kingdom,"68,179,315","68,682,962",+0.74%,Europe,Northern Europe,78,United Kingdom,"244,376 (94,354)","242,741 (93,723)","1,635 (631)",0.7,[at]
South Africa,"62,378,410","63,212,384",+1.34%,Africa,Southern Africa,24,South Africa,"1,219,090 (470,693)","1,214,470 (468,909)","4,620 (1,780)",0.4,[q]
Italy,"59,619,115","59,499,453",−0.20%,Europe,Southern Europe,71,Italy,"302,068 (116,629)","295,717 (114,177)","6,350 (2,450)",2.1,
Kenya,"54,252,461","55,339,003",+2.00%,Africa,Eastern Africa,48,Kenya,"580,367 (224,081)","569,140 (219,750)","11,227 (4,335)",1.9,[ae]
Myanmar,"53,756,787","54,133,798",+0.70%,Asia,South-eastern Asia,39,Myanmar,"676,578 (261,228)","653,508 (252,321)","23,070 (8,907)",3.4,
Colombia,"51,737,944","52,321,152",+1.13%,Americas,South America,25,Colombia,"1,138,910 (439,735)","1,038,700 (401,040)","100,210 (38,691)",8.8,[q]
South Korea,"51,782,512","51,748,739",−0.07%,Asia,Eastern Asia,107,South Korea,"100,432 (38,777)","97,600 (37,700)","2,800 (1,100)",2.8,[bh]
Sudan,"49,383,346","50,042,791",+1.34%,Africa,Northern Africa,15,Sudan,"1,861,484 (718,723)","1,731,671 (668,602)","129,813 (50,121)",7.0,[q]
Uganda,"47,312,719","48,656,601",+2.84%,Africa,Eastern Africa,79,Uganda,"241,550 (93,263)","200,520 (77,421)","41,030 (15,840)",17.0,
Algeria,"45,477,389","46,164,219",+1.51%,Africa,Northern Africa,10,Algeria,"2,381,741 (919,595)","2,381,741 (919,595)",0,0,[m]
Argentina,"45,407,904","45,538,401",+0.29%,Americas,South America,8,Argentina,"2,780,400 (1,073,500)","2,736,690 (1,056,640)","43,710 (16,880)",1.6,[k]
Iraq,"44,070,551","45,074,049",+2.28%,Asia,Western Asia,58,Iraq,"438,317 (169,235)","437,367 (168,868)",950 (370),0.2,[aj]
Afghanistan,"40,578,842","41,454,761",+2.16%,Asia,Southern Asia,40,Afghanistan,"652,864 (252,072)","652,230 (251,830)",630 (240),0.1,
Yemen,"38,222,876","39,390,799",+3.06%,Asia,Western Asia,54,Yemen,"455,503 (175,871)","455,503 (175,871)",0,0,[ag]
Canada,"38,821,259","39,299,105",+1.23%,Americas,Northern America,2,Canada,"9,984,670 (3,855,100)","9,093,507 (3,511,021)","891,163 (344,080)",8.9,[d]
Poland,"38,385,739","38,762,844",+0.98%,Europe,Eastern Europe,69,Poland,"312,685 (120,728)","304,255 (117,473)","8,430 (3,260)",3.7,
Morocco,"37,329,064","37,712,505",+1.03%,Africa,Northern Africa,57,Morocco,"446,550 (172,410)","446,300 (172,300)",250 (97),0.1,[ai]
Angola,"35,635,029","36,749,906",+3.13%,Africa,Middle Africa,22,Angola,"1,246,700 (481,350)","1,246,700 (481,350)",0,0,
Uzbekistan,"34,938,955","35,652,307",+2.04%,Asia,Central Asia,56,Uzbekistan,"447,400 (172,700)","425,400 (164,200)","22,000 (8,500)",4.9,
Malaysia,"34,695,493","35,126,298",+1.24%,Asia,South-eastern Asia,67,Malaysia,"330,621 (127,653)","329,432 (127,194)","1,190 (459)",0.4,
Peru,"33,475,438","33,845,617",+1.11%,Americas,South America,19,Peru,"1,285,216 (496,224)","1,279,996 (494,209)","5,220 (2,020)",0.4,
Ghana,"33,149,152","33,787,914",+1.93%,Africa,Western Africa,80,Ghana,"238,537 (92,100)","227,533 (87,851)","11,000 (4,200)",4.6,
Mozambique,"32,656,246","33,635,160",+3.00%,Africa,Eastern Africa,35,Mozambique,"799,380 (308,640)","786,380 (303,620)","13,000 (5,000)",1.6,
Saudi Arabia,"32,175,352","32,264,292",+0.28%,Asia,Western Asia,12,Saudi Arabia,"2,149,690 (830,000)","2,149,690 (830,000)",0,0,[q]
Madagascar,"30,437,261","31,195,932",+2.49%,Africa,Eastern Africa,46,Madagascar,"587,041 (226,658)","581,540 (224,530)","5,501 (2,124)",0.9,
Ivory Coast,"30,395,002","31,165,654",+2.54%,Africa,Western Africa,68,Ivory Coast,"322,462 (124,503)","318,000 (123,000)","4,460 (1,720)",1.4,
Nepal,"29,715,436","29,964,614",+0.84%,Asia,Southern Asia,93,Nepal,"147,181 (56,827)","143,350 (55,348)","3,830 (1,480)",2.6,[ba]
Cameroon,"27,632,771","28,372,687",+2.68%,Africa,Middle Africa,52,Cameroon,"475,650 (183,650)","472,710 (182,510)","2,730 (1,050)",0.6,[q]
Venezuela,"28,213,017","28,300,854",+0.31%,Americas,South America,32,Venezuela,"912,050 (352,140)","882,050 (340,560)","30,000 (10,000)",3.3,[w]
North Korea,"26,329,845","26,418,204",+0.34%,Asia,Eastern Asia,97,North Korea,"120,538 (46,540)","120,410 (46,491)",130 (50),0.1,[bc]
Niger,"25,311,973","26,159,867",+3.35%,Africa,Western Africa,21,Niger,"1,267,000 (489,200)","1,266,700 (489,080)",300 (100),0,
Mali,"23,072,640","23,769,127",+3.02%,Africa,Western Africa,23,Mali,"1,240,192 (478,841)","1,220,190 (471,118)","20,000 (8,000)",1.6,
Syria,"22,462,173","23,594,623",+5.04%,Asia,Western Asia,87,Syria,"185,180 (71,498)","183,630 (70,900)","1,550 (598)",0.8,[aw]
Burkina Faso,"22,509,038","23,025,776",+2.30%,Africa,Western Africa,74,Burkina Faso,"274,200 (105,900)","273,800 (105,700)",400 (200),0.2,[q]
Sri Lanka,"22,834,965","22,971,617",+0.60%,Asia,Southern Asia,120,Sri Lanka,"65,610 (25,330)","61,860 (23,880)","3,750 (1,450)",5.7,
Malawi,"20,568,728","21,104,482",+2.60%,Africa,Eastern Africa,98,Malawi,"118,484 (45,747)","94,080 (36,320)","24,404 (9,422)",20.6,[bd]
Zambia,"20,152,938","20,723,965",+2.83%,Africa,Eastern Africa,38,Zambia,"752,612 (290,585)","743,390 (287,020)","9,220 (3,560)",1.2,
Kazakhstan,"20,034,609","20,330,104",+1.47%,Asia,Central Asia,9,Kazakhstan,"2,724,910 (1,052,090)","2,699,700 (1,042,400)","25,202 (9,731)",0.9,[l]
Chile,"19,553,036","19,658,835",+0.54%,Americas,South America,37,Chile,"756,102 (291,932)","743,812 (287,187)","12,290 (4,745)",1.6,[z]
Chad,"18,455,316","19,319,064",+4.68%,Africa,Middle Africa,20,Chad,"1,284,000 (495,800)","1,259,200 (486,180)","24,800 (9,580)",1.9,[t]
Romania,"19,166,772","19,118,479",−0.25%,Europe,Eastern Europe,81,Romania,"238,398 (92,046)","230,080 (88,834)","8,320 (3,210)",3.5,
Guatemala,"17,847,877","18,124,838",+1.55%,Americas,Central America,105,Guatemala,"108,889 (42,042)","107,160 (41,375)","1,730 (668)",1.6,
Senegal,"17,651,103","18,077,573",+2.42%,Africa,Western Africa,86,Senegal,"196,712 (75,951)","192,530 (74,336)","4,180 (1,610)",2.1,
Ecuador,"17,823,897","17,980,083",+0.88%,Americas,South America,73,Ecuador,"283,561 (109,483)","276,841 (106,889)","6,720 (2,600)",2.4,[aq]
Cambodia,"17,201,724","17,423,880",+1.29%,Asia,South-eastern Asia,88,Cambodia,"181,035 (69,898)","176,520 (68,155)","4,520 (1,750)",2.5,
Zimbabwe,"16,069,056","16,340,822",+1.69%,Africa,Eastern Africa,60,Zimbabwe,"390,757 (150,872)","386,850 (149,360)","3,910 (1,510)",1.0,
Guinea,"14,055,137","14,405,465",+2.49%,Africa,Western Africa,77,Guinea,"245,857 (94,926)","245,717 (94,872)",140 (54),0.1,[q]
Benin,"13,759,501","14,111,034",+2.55%,Africa,Western Africa,100,Benin,"114,763 (44,310)","112,760 (43,537)","2,000 (800)",1.7,
Rwanda,"13,651,030","13,954,471",+2.22%,Africa,Eastern Africa,144,Rwanda,"26,338 (10,169)","24,670 (9,525)","1,670 (645)",6.3,
Burundi,"13,321,097","13,689,450",+2.77%,Africa,Eastern Africa,142,Burundi,"27,834 (10,747)","25,680 (9,915)","2,150 (830)",7.7,
Bolivia,"12,077,154","12,244,159",+1.38%,Americas,South America,27,Bolivia,"1,098,581 (424,164)","1,083,300 (418,260)","15,280 (5,900)",1.4,
Tunisia,"12,119,334","12,200,431",+0.67%,Africa,Northern Africa,91,Tunisia,"163,610 (63,170)","155,360 (59,985)","8,250 (3,190)",5.0,
Belgium,"11,641,820","11,712,893",+0.61%,Europe,Western Europe,136,Belgium,"30,528 (11,787)","30,280 (11,690)",250 (97),0.8,
Haiti,"11,503,606","11,637,398",+1.16%,Americas,Caribbean,143,Haiti,"27,750 (10,710)","27,560 (10,640)",190 (73),0.7,
South Sudan,"11,021,177","11,483,374",+4.19%,Africa,Eastern Africa,41,South Sudan,"644,329 (248,777)",,,,[aa]
Jordan,"11,256,263","11,439,213",+1.63%,Asia,Western Asia,110,Jordan,"89,318 (34,486)","88,794 (34,284)",524 (202),0.6,
Dominican Republic,"11,230,734","11,331,265",+0.90%,Americas,Caribbean,128,Dominican Republic,"48,670 (18,790)","48,320 (18,660)",350 (140),0.7,
Cuba,"11,059,820","11,019,931",−0.36%,Americas,Caribbean,104,Cuba,"109,884 (42,426)","103,800 (40,080)","6,080 (2,350)",5.5,[bg]
Honduras,"10,463,872","10,644,851",+1.73%,Americas,Central America,101,Honduras,"112,492 (43,433)","111,890 (43,201)",600 (200),0.5,
United Arab Emirates,"10,242,086","10,642,081",+3.91%,Asia,Western Asia,114,United Arab Emirates,"83,600 (32,300)","82,880 (32,000)",720 (280),0.9,[bk]
Sweden,"10,487,338","10,551,494",+0.61%,Europe,Northern Europe,55,Sweden,"450,295 (173,860)","407,284 (157,253)","40,142 (15,499)",9.0,[ah]
Tajikistan,"10,182,222","10,389,799",+2.04%,Asia,Central Asia,94,Tajikistan,"144,100 (55,640)","141,510 (54,637)","2,590 (1,000)",1.8,
Papua New Guinea,"10,203,169","10,389,635",+1.83%,Oceania,Melanesia,53,Papua New Guinea,"462,840 (178,700)","452,860 (174,850)","9,980 (3,850)",2.2,
